日期,領域,類別,任務描述,狀態,備註|建議事項
7月17日,重點摘要,資安|稽核,[AS-ITS] 114年資通安全稽核_改善追蹤: GCB套用｜防護標準: 學術研究區網段分艙管理,已完備,"1.GCB 導入期限：
　A、B級公務機關應於初次受核定或等級變更後1年內依公告項目完成GCB導入並持續維運；
   主管機關公告新增項目後，亦應於公告後1年內完成導入。
   （依據資安署網站-資安法常見問答4.13）
2.學術區分艙：
   完成學術研究區網路分艙管理措施，包括第一階段「分艙網段設定」第二階段「各艙套用管理機制」
   1.第一階段「分艙網段設定」：依實際使用需求、任務性質、或實體空間區隔，將學術研究區之連網設備，以實體或邏輯方式進行分群與區隔，各艙之間不能互通。
   2.第二階段「各艙套用管理機制」：依不同學術研究需求，決定各艙等級，並導入合適控制措施：
   (1)第1級：原則比照公務行政區之防護標準，未能比照公務行政區之防護標準，須敘明理由、相對應之防護措施，以及發生資安事件之緊急處置方式，並經單位資安長同意。
   (2)第2級：比照公務行政區之防護標準。
   (3)第3級：除符合公務行政區之防護標準外，實驗室內特定區域之網路須與其他網路（含Internet）以實體線路區隔方式進行實體隔離，不能互通（適用涉及不公開之特殊研究或高度機敏資訊）。
  （依113年8月28日資訊服務字第1131500971號書函及114年11月7日資訊服務字第1141501291號書函）"
7月16日,重點摘要,相關連結,新增公告_ASCEM官網,已完備,"https://cryoem.project.sinica.edu.tw/announcement-C.html 2026/07/16 因應近期CEM4預約壅塞，即日起調整預約方式...更多
2026/07/16 To ease the recent congestion in CEM4, new booking policy effective today    ...More"
7月15日,重點摘要,資安|稽核,#13433] (新建立) 【漏洞預警】WatchGuard Fireware OS存在高風險安全漏洞(CVE-2026-13368)，請儘速確認並進行修補,已完備,未使用該項設備/產品
7月15日,重點摘要,資安|稽核,#13432] (新建立) 【漏洞預警】pgAdmin 4存在多項高風險安全漏洞(CVE-2026-12044至CVE-2026-12050)，請儘速確認並進行修補,已完備,未使用該項設備/產品
7月15日,重點摘要,資安|稽核,資安事件應變分享 #13431] (新建立) 【漏洞預警】NetScaler ADC與NetScaler Gateway存在多項高風險安全漏洞(CVE-2026-8451、CVE-2026-8452、CVE-2026-8655、CVE-2026-10816、CVE-2026-10817及CVE-2026-13474)，請儘速確認並進行修補,已完備,未使用該項設備/產品
7月15日,重點摘要,資安|稽核,[AS-ITS] 114年資通安全稽核_改善追蹤,已完備,"1. 已完成，導入行政區7台電腦(參附件) 2. 已完成，汰換新防火牆(PA-410)並建立控管政策(參附件) 3. ASCEM 設施無線網路已全面採用：院區無線網路 SSID: AS_secure (院內員工)  AS_Guest (訪客)
員工無線網路：以在職員工之員工帳號(SSO帳號 控管機制)登入！"
7月16日,重點摘要,冷凍電顯,mrc2tif Test : intergate to script ,進行中,
7月14日,重點摘要,資安|稽核,資安宣導】7月中旬電子郵件社交工程演練提醒 / [Cybersecurity Advisory] Reminder for Mid-July Phishing Simulation Exercise,進行中,3. 已完成，汰換新防火牆(PA-410)並建立控管政策(參附件)
7月14日,重點摘要,資安|稽核,#11968] [AS-ITS]【健診】提供 114 年多冷凍電顯中心資安健診作業執行結果及追蹤清單,已完備,已更換防火牆(PA-410)並設定管控機制|備份LOG 正常送出SOC
7月14日,重點摘要,資安|稽核,#13426] (新建立) 【公告資訊】國家資通安全研究院於GCB專區更新GCB之說明文件,已完備,資訊服務處將於「每半年資安重點工作進度調查」追蹤各單位資安防護措施辦理情形，如有未完成者，將以公文通知資安防護項目待改善。
7月14日,重點摘要,冷凍電顯,7/14(T)2pm at IBC R102_2026年度ASCEM使用者委員會會議,已完備, 
7月14日,重點摘要,冷凍電顯,CEM4 Run,已完備,
7月13日,重點摘要,資訊|電顯,"115年下半年院內重要資訊服務措施/Important IT Service Measures in Academia Sinica – 2026, Second Half",進行中,"Gate 電子郵件業務帳號移轉至 GWS 服務
本院 Gate 業務電子郵件帳號預計於 115 年 8 月起，分批移轉至Google Workspace
（GWS）服務。除電子郵件功能外，未來亦可使用相關雲端協作功能，提升業務帳號使用效益。資訊處將提供郵件移轉工具，協助帳號管理者將Mail2000 中的郵件移轉至 GWS。相關申請及使用規則將另行公告。原 Mail2000 電子郵件服務將於 115 年 10 月 31
日停止提供服務，請使用者提前完成郵件、通訊錄等資料備份及移轉作業。
本院計算服務平台高階計算資源申請暨審查作業
本院將自 115 年 9 月起正式提供高階計算資源服務（NVIDIA
B200），為有效統籌運用高階計算資源，將由計算服務管理委員會針對申請高階計算資源計畫進行審查，相關申請資格、審查方式及使用規範將另行公告。
***個人網頁服務轉型
為提供更友善的靜態網頁編輯體驗，個人網頁服務（idv.sinica.edu.tw）已轉型為 Google Sites 網站持續提供服務。習慣自建 HTML 網頁的專業使用者，可改申請使用本處網頁空間服務。原個人網頁服務（idv.sinica.edu.tw）將於 115 年 9 月 30 日停止提供服務，請提前完成網站資料備份及移轉作業。"
